ID,State,City (nearby),Latitude,Longitude
1,FL,Miami,25.411914,-80.496381
2,FL,Miami,25.448995,-80.444257
3,FL,Miami,25.494578,-80.394264
4,FL,Miami,25.503035,-80.465594
5,FL,Miami,25.546055,-80.344239
6,FL,Miami,25.840035,-80.306943
7,FL,Miami,26.15362,-80.107006
8,FL,Miami,26.86738,-80.071394
9,FL,Naples,26.102684,-81.680893
10,FL,Fort Myers,26.637465,-82.063355
11,FL,Vero Beach,27.543871,-80.479716
12,FL,Tampa,27.892043,-82.512441
13,FL,Tampa,27.917057,-82.43567
14,FL,Keys,24.579171,-81.692519
15,FL,Orlando,28.519077,-81.525726
16,FL,Daytona Beach,29.225933,-81.072001
17,FL,Jacksonville,30.326981,-81.786151
18,FL,Jacksonville,30.420196,-81.556657
19,FL,Tallahassee,30.419557,-84.317955
20,FL,Ochlocknee,29.98002,-84.383242
21,FL,Panama City,30.13849,-85.627396
22,FL,Fort Walton Beach,30.471175,-86.535716
23,FL,Century,30.960436,-87.289778
24,FL,Apalachicola,29.730999,-84.989704
25,FL,Tallahassee,30.44197,-84.196028
26,FL,Miami,25.43348,-80.333274
27,FL,Miami,25.462779,-80.435953
28,FL,Miami,25.762282,-80.191728
29,FL,Miami,25.726759,-80.243725
30,FL,Miami,25.718761,-80.271834
31,FL,Miami,25.833444,-80.354153
32,FL,Miami,25.964943,-80.174251
33,FL,Miami,26.483744,-80.172588
34,FL,Miami,26.883455,-80.128145
35,FL,Naples,26.145923,-81.766683
36,FL,Fort Myers,26.696822,-81.889491
37,FL,Vero Beach,27.654976,-80.401979
38,FL,Tampa,27.893512,-82.509939
39,FL,Tampa,27.949945,-82.797666
40,FL,Keys,24.731142,-81.025791
41,FL,Keys,25.166762,-80.378202
42,FL,Keys,24.980314,-80.549275
43,FL,Orlando,28.439313,-81.309157
44,FL,Daytona Beach,29.114601,-80.983767
45,FL,Jacksonville,30.368048,-81.63737
46,FL,Tallahassee,30.440138,-84.306526
47,FL,Destin,30.395453,-86.469686
48,FL,Blountstown,30.446665,-85.049315
49,FL,Pensacola,30.359192,-87.30021
50,FL,Crestview,30.753718,-86.549953
51,GA,St Simons,31.153445,-81.382218
52,GA,St Marys,30.779639,-81.540101
53,GA,Jekyll Island,31.060054,-81.420773
54,GA,Jekyll Island,31.070336,-81.407585
55,GA,Hickory Bluff,31.080633,-81.57926
56,GA,Brunswick,31.141675,-81.584361
57,GA,Brunswick,31.244423,-81.470691
58,GA,Brunswick,31.18887,-81.486939
59,GA,Shellman Bluff,31.574133,-81.325117
60,GA,Buckhead,31.853143,-81.279653
61,GA,Savannah,32.073627,-81.075461
62,GA,Savannah,32.055167,-81.165766
63,GA,Valdosta,30.817192,-83.275543
64,GA,Tybee Island,32.013841,-80.845946
65,GA,Homerville,31.02619,-82.75648
66,GA,Homerville,31.047485,-82.75018
67,GA,Ocilla,31.590675,-83.242375
68,GA,Douglas,31.499559,-82.867086
69,GA,Thomasville,30.815036,-83.989942
70,GA,Thomasville,30.843365,-83.971847
71,GA,Albany,31.593619,-84.103386
72,GA,Albany,31.575402,-84.149079
73,GA,Macon,32.849571,-83.624256
74,GA,Sylvania,32.737991,-81.635197
75,GA,Columbus,32.488693,-84.896535
76,GA,Bainbridge,30.907897,-84.578053
77,GA,Atlanta,33.657212,-84.417954
78,GA,Atlanta,33.75339,-84.363648
79,GA,Folkston,30.819719,-82.013336
80,GA,Augusta,33.456328,-81.978871
81,SC,Harbour Town,32.115106,-80.819324
82,SC,Hilton Head Island,32.155528,-80.763295
83,SC,St Helena Island,32.353118,-80.604589
84,SC,Beaufort,32.463283,-80.711379
85,SC,Beaufort,32.440609,-80.687655
86,SC,Kiawah Island,32.610787,-80.089897
87,SC,Charleston,32.790277,-79.930221
88,SC,Charleston,32.842063,-79.947393
89,SC,Charleston,32.842437,-79.974178
90,SC,Charleston,32.860404,-79.977047
91,SC,Charleston,32.86918,-80.031759
92,SC,Charleston,32.904198,-79.970582
93,SC,Charleston,32.921792,-80.015222
94,SC,Mt Pleasant,32.820306,-79.836589
95,SC,Georgetown,33.36372,-79.295381
96,SC,Pawleys Island,33.436715,-79.14261
97,SC,Mayrtle Beach,33.617455,-79.054971
98,SC,Mayrtle Beach,33.67731,-79.031412
99,SC,Mayrtle Beach,33.79141,-78.762048
100,SC,Mayrtle Beach,33.846907,-78.636766
101,SC,Florence,34.198997,-79.761962
102,SC,Lake City,33.865727,-79.744965
103,SC,Columbia,33.985202,-81.056014
104,SC,Dillon,34.414597,-79.388629
105,SC,Aiken,33.539738,-81.691423
106,SC,Rock Hill,34.931969,-81.028608
107,SC,Spartanburg,34.957648,-81.896156
108,SC,Spartanburg,34.980351,-81.974974
109,SC,Greenville,34.847992,-82.360453
110,SC,Greenville,34.817522,-82.415738
111,NC,Ocean Isle Beach,33.898312,-78.4307
112,NC,Holden Beach,33.930454,-78.293847
113,NC,Oak Island,33.937187,-78.063494
114,NC,Bald Head Island,33.858154,-77.981395
115,NC,Southport,33.931224,-78.015147
116,NC,Wilmington,34.056565,-77.900621
117,NC,Wilmington,34.123678,-77.915313
118,NC,Wilmington,34.183754,-77.914674
119,NC,Wilmington,34.198942,-77.827074
120,NC,Wilmington,34.238649,-77.828296
121,NC,Wilmington,34.250684,-77.947212
122,NC,Surf City,34.44947,-77.526163
123,NC,Morehead City,34.721587,-76.73428
124,NC,Morehead City,34.793396,-76.557619
125,NC,Nags Head,35.889769,-75.661225
126,NC,Jacksonville,34.67779,-77.333969
127,NC,Jacksonville,34.724478,-77.450918
128,NC,Jacksonville,34.787051,-77.427958
129,NC,Elizabeth City,36.302127,-76.223269
130,NC,Knotts Island,36.5045,-75.920696
131,NC,New Bern,35.122532,-77.067865
132,NC,Raleigh,35.767844,-78.654289
133,NC,Charlotte,35.225475,-80.85557
134,NC,Charlotte,35.244135,-80.895746
135,NC,Charlotte,35.235423,-80.827417
136,NC,Greensboro,36.0561,-79.948968
137,NC,Durham,35.994393,-78.943038
138,NC,Winston-Salem,36.133327,-80.2384
139,NC,Ashville,35.57812,-82.565431
140,NC,Hickory,35.720146,-81.346283
141,TX,Kingsville,27.507182,-97.819123
142,TX,Kingsville,27.530166,-97.885672
143,TX,Harlington,26.216077,-97.67787
144,TX,Raymondville,26.474405,-97.783861
145,TX,McAllen,26.180616,-98.186378
146,TX,Edingburg,26.284583,-98.149448
147,TX,Corpus Christi,27.676298,-97.286128
148,TX,Corpus Christi,27.803131,-97.445815
149,TX,Ingleside,27.831772,-97.204716
150,TX,Victoria,28.79343,-96.964429
151,TX,Goliad,28.660403,-97.385391
152,TX,Lake Jackson,29.036401,-95.415236
153,TX,Lake Jackson,28.944868,-95.331594
154,TX,Houston,29.295005,-94.811634
155,TX,Houston,29.338129,-94.943167
156,TX,Houston,29.965423,-95.376199
157,TX,Houston,29.965423,-95.376199
158,TX,Houston,29.732407,-95.248749
159,TX,Houston,30.075572,-95.439887
160,TX,Port Arthur,29.887753,-93.945273
161,TX,Orange,30.090835,-93.743572
162,TX,San Antonio,29.394025,-98.429779
163,TX,San Antonio,29.418721,-98.481288
164,TX,San Antonio,29.476306,-98.388517
165,TX,San Antonio,29.472025,-98.41554
166,TX,Austin,30.24545,-97.685917
167,TX,Austin,30.237948,-97.795149
168,TX,Dallas,32.839,-97.019817
169,TX,Lubbock,33.538251,-101.79158
170,TX,Tyler,32.309082,-95.261854
171,LA,Lake Charles,30.206804,-93.241393
172,LA,Holly Beach,29.775231,-93.451747
173,LA,Jennings,30.226563,-92.642562
174,LA,Lafayette,30.191872,-91.993851
175,LA,Lafayette,30.214394,-92.041424
176,LA,Lafayette,30.225278,-92.061268
177,LA,Bayou Vitsa,29.702194,-91.268178
178,LA,Morgan City,29.69754,-91.184207
179,LA,Abbeville,29.974435,-92.145447
180,LA,New Iberia,29.990172,-91.826512
181,LA,Houma,29.572312,-90.715942
182,LA,Golden Meadow,29.373913,-90.262362
183,LA,Grand Isle,29.373913,-90.262362
184,LA,New Orleans,29.906809,-90.095041
185,LA,New Orleans,29.919711,-89.976276
186,LA,New Orleans,30.003468,-90.099803
187,LA,New Orleans,29.952795,-90.27265
188,LA,Baton Rouge,30.468755,-91.190069
189,LA,Baton Rouge,30.397139,-91.178848
190,LA,Baton Rouge,30.334733,-90.902525
191,LA,Hammond,30.506557,-90.480508
192,LA,Shreveport,32.441654,-93.707368
193,LA,Monreo,32.498689,-92.120493
194,LA,Alexandria,31.302705,-92.443448
195,LA,Slidell,30.291195,-89.771696
196,VA,Virginia Beach,36.826832,-75.976922
197,VA,Virginia Beach,36.847722,-76.01848
198,VA,Virginia Beach,36.811188,-76.021141
199,VA,Norfolk,36.765529,-76.358232
200,VA,Norfolk,36.793971,-76.32124
201,VA,Norfolk,36.885565,-76.11594
202,VA,Norfolk,36.841052,-76.345787
203,VA,Norfolk,36.921491,-76.280393
204,VA,Hampton,37.044033,-76.358872
205,VA,Hampton,37.121657,-76.478274
206,VA,Hampton,37.279302,-76.678414
207,VA,Onley,37.6916,-75.714122
208,VA,Chincoteague,37.935067,-75.363012
209,VA,Wattsville,37.978829,-75.538252
210,VA,Bourtons Bay,37.679023,-75.630762
211,VA,Cape Charles,37.267225,-76.010442
212,VA,Richmond,37.506596,-77.347329
213,VA,Richmond,37.535103,-77.453731
214,VA,Richmond,37.568112,-77.466264
215,VA,Suffolk,36.733552,-76.597844
216,VA,Franklin,36.679734,-76.920188
217,VA,Kilmarnock,37.706774,-76.383582
218,VA,Charlottesville,38.046223,-78.454176
219,VA,Lynchburg,37.392887,-79.16345
220,VA,Roanoke,37.323088,-79.932996
221,AL,Gulf Highlands,30.234453,-87.873686
222,AL,Gulf Shores,30.263005,-87.687235
223,AL,Gulf Shores,30.257154,-87.687725
224,AL,Orange Beach,30.280719,-87.580858
225,AL,Orange Beach,30.296656,-87.542191
226,AL,Dolphin Island,30.257681,-88.112027
227,AL,Bayou La Batre,30.401531,-88.248827
228,AL,Robertsdale,30.54214,-87.704437
229,AL,Mobile,30.685255,-88.025407
230,AL,Mobile,30.723337,-88.066071
231,AL,Brewton,31.137008,-87.070244
232,AL,Dothan,31.20489,-85.405074
233,AL,Spanish Fort,30.63041,-87.906632
234,AL,Floey,30.410586,-87.700573
235,AL,Montgomery,32.377116,-86.333238
236,AL,Birmingham,33.567535,-86.77486
237,AL,Birmingham,33.496582,-86.867338
